;precision;recall;f1-score;support
0;0.680089485458613;0.2699822380106572;0.3865225683407502;1126.0
1;0.6985294117647058;0.13212795549374132;0.2222222222222222;719.0
2;0.0;0.0;0.0;229.0
3;0.6326530612244898;0.14715189873417722;0.23876765083440307;632.0
4;0.8604651162790697;0.28793774319066145;0.4314868804664722;514.0
5;0.0;0.0;0.0;58.0
6;0.0;0.0;0.0;108.0
7;0.0;0.0;0.0;115.0
8;0.0;0.0;0.0;60.0
9;0.8172043010752689;0.0970625798212005;0.1735159817351598;783.0
10;0.0;0.0;0.0;59.0
11;0.6363636363636364;0.060085836909871244;0.10980392156862745;233.0
12;0.0;0.0;0.0;125.0
13;0.0;0.0;0.0;156.0
14;0.8545454545454545;0.23979591836734693;0.37450199203187245;196.0
15;0.7184343434343434;0.44909234411996846;0.5526954832442934;2534.0
16;0.0;0.0;0.0;247.0
17;0.0;0.0;0.0;141.0
18;0.0;0.0;0.0;55.0
19;0.6763285024154589;0.280561122244489;0.396600566572238;998.0
20;0.0;0.0;0.0;127.0
21;0.890625;0.22529644268774704;0.359621451104101;253.0
22;0.7034500921780353;0.6846962317354525;0.6939464796050923;3901.0
23;0.0;0.0;0.0;68.0
24;0.7307692307692307;0.18119891008174388;0.29039301310043675;734.0
25;0.7358490566037735;0.09582309582309582;0.16956521739130437;407.0
26;0.0;0.0;0.0;56.0
27;0.8672086720867209;0.4;0.5474764756201882;800.0
28;0.75;0.003911342894393742;0.007782101167315176;767.0
29;0.9230769230769231;0.09266409266409266;0.16842105263157894;259.0
30;0.8461538461538461;0.07482993197278912;0.1375;147.0
31;0.8181818181818182;0.12949640287769784;0.2236024844720497;139.0
32;0.0;0.0;0.0;102.0
33;0.0;0.0;0.0;72.0
34;0.5476190476190477;0.04693877551020408;0.08646616541353383;490.0
35;0.6938775510204082;0.0821256038647343;0.1468682505399568;414.0
36;0.0;0.0;0.0;103.0
37;0.0;0.0;0.0;159.0
38;0.6666666666666666;0.0076045627376425855;0.015037593984962407;263.0
39;0.7142857142857143;0.03164556962025317;0.06060606060606061;158.0
40;1.0;0.004629629629629629;0.009216589861751152;216.0
41;0.6311475409836066;0.22142343637670742;0.3278339542309739;1391.0
42;0.0;0.0;0.0;109.0
43;0.8051282051282052;0.31781376518218624;0.4557329462989841;494.0
44;0.889763779527559;0.3476923076923077;0.5;650.0
45;0.5;0.003703703703703704;0.007352941176470589;270.0
46;0.0;0.0;0.0;104.0
47;1.0;0.0070921985815602835;0.014084507042253521;141.0
48;0.7391304347826086;0.12142857142857143;0.2085889570552147;140.0
49;0.75;0.046153846153846156;0.08695652173913043;65.0
50;0.0;0.0;0.0;109.0
51;0.0;0.0;0.0;131.0
52;0.5714285714285714;0.02531645569620253;0.048484848484848485;158.0
53;0.0;0.0;0.0;129.0
54;0.6339113680154143;0.2600790513833992;0.3688340807174888;1265.0
55;0.6666666666666666;0.19294117647058823;0.2992700729927007;1275.0
56;0.9056603773584906;0.22748815165876776;0.36363636363636365;211.0
micro avg;0.7148352219565444;0.27108219988172677;0.3930939858220901;25365.0
macro avg;0.448337085527971;0.10168054198806017;0.1488314981734877;25365.0
weighted avg;0.646092311582517;0.27108219988172677;0.34355099274378875;25365.0
samples avg;0.5529379405191679;0.31704375715206046;0.36612540755140033;25365.0
